Type,Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Fate,Fate2,FirstFound,Stage,BHCONum,InitBHCO,Clutch,InitClutch,AgeFound,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Paddock,Replicate,Treatment
new,2021,BWTE04643935175735,464393,5175735,BWTE,7/9/2021,8,3,1,Failed,6/16/2021,Incubating,0,0,2,9,0,85,0,15,0,3,0,15,35,523,5,7,6,7,10,SW,MTORG
old,2021,BWTE04652855176258,465285,5176258,BWTE,6/2/2021,2,3,1,Abandoned,5/27/2021,Laying,0,0,4,4,-4,63,0,15,0,15,3,15,79,420,3,2,1,1,5,SE,MTORG
old,2021,BWTE04655865175870,465586,5175870,BWTE,6/29/2021,4,3,1,Failed,6/19/2021,Incubating,0,0,9,9,8,63,0,38,0,3,0,3,49,376,5,3,3,3,6,SE,MTORG
new,2022,AMCO04655255176959,465525,5176959,BWTE,6/24/2022,1,4,1,Failed,6/17/2022,Incubating,0,0,8,8,NA,0,0,15,NA,3,63,0,WATER,NA,18,20,18,20,3,NE,MTORG
old,2022,BWTE04646815176370,464681,5176370,BWTE,7/7/2022,9,5,1,Failed,6/9/2022,Incubating,0,0,11,9,-2,15,0,0,0,3,0,85,210,890,10,9,9,8,12,SW,MTORG
new,2022,BWTE04651875176876,465187,5176876,BWTE,5/26/2022,1,2,0,Survive,5/24/2022,Incubating,0,0,9,9,11,15,15,38,3,3,0,15,35,430,3,3,5,4,2,NE,MTORG
new,2022,BWTE04651875176876,465187,5176876,BWTE,5/30/2022,2,4,1,Failed,5/24/2022,Incubating,0,0,9,9,11,15,15,38,3,3,0,15,35,430,3,3,5,4,2,NE,MTORG
old,2022,BWTE04653545177107,465354,5177107,BWTE,6/15/2022,5,2,0,Survive,6/2/2022,Incubating,0,0,7,9,-1,15,38,3,0,3,0,63,70,870,4,5,4,8,2,NE,MTORG
old,2022,BWTE04653545177107,465354,5177107,BWTE,6/18/2022,6,3,1,Abandoned,6/2/2022,Incubating,0,0,7,9,-1,15,38,3,0,3,0,63,70,870,4,5,4,8,2,NE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/2/2022,1,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/4/2022,2,2,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/7/2022,3,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/10/2022,4,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/13/2022,5,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/15/2022,6,2,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/18/2022,7,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/21/2022,8,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/24/2022,9,3,0,Survive,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
old,2022,GWTE04650725176017,465072,5176017,BWTE,6/27/2022,10,3,1,Failed,5/30/2022,Incubating,0,0,11,8,-3,15,38,0,0,15,0,15,60,770,8,11,8,11,8,SE,MTORG
