shannon,Treat,Paddock,Year
1.3896811919839047,Rest,1,2022
2.0623990607368046,Heavy,2,2022
1.6757561832842427,Full,3,2022
1.9439981771714585,Moderate,4,2022
1.9453165424776917,Rest,5,2022
1.303875529336385,Heavy,6,2022
1.4066777022503076,Full,7,2022
2.140512074365345,Moderate,8,2022
1.0621922547835259,Heavy,9,2022
1.7757855326028487,Full,10,2022
1.7199775850135615,Moderate,11,2022
1.9954851886662552,Rest,12,2022
1.2930224700643995,Heavy,13,2022
1.7946241811649384,Full,14,2022
2.0948433773139525,Moderate,15,2022
1.8179404272531652,Rest,16,2022
